00:00:00.000 ; TestPlan      ; Start       ; Starting TestPlan 'Untitled*' on 01-09-2015 10:04:19, 1 of 1 TestSteps enabled.
00:00:00.498 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET3:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:00.499 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET3:RF:PORT RFIO2 [0 ms]
00:00:00.499 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET3:RF:PORT:RFIO2 BOTH [0 ms]
00:00:00.499 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET3 ON [0 ms]
00:00:00.500 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET4 ON [0 ms]
00:00:00.500 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET4:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:00.501 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET4:RF:PORT RFIO3 [0 ms]
00:00:00.501 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET4:RF:PORT:RFIO3 BOTH [0 ms]
00:00:00.502 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET5:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:00.502 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET5:RF:PORT RFIO4 [0 ms]
00:00:00.503 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET5:RF:PORT:RFIO4 BOTH [0 ms]
00:00:00.503 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET5 ON [0 ms]
00:00:00.503 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET6 ON [0 ms]
00:00:00.504 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET6:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:00.504 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET6:RF:PORT RFIO5 [0 ms]
00:00:00.505 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET6:RF:PORT:RFIO5 BOTH [0 ms]
00:00:00.505 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET7:RF:PORT RFIO6 [0 ms]
00:00:00.506 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET7 ON [0 ms]
00:00:00.506 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET7:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:00.506 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET7:RF:PORT:RFIO6 BOTH [0 ms]
00:00:00.507 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET8:RF:PORT RFIO7 [0 ms]
00:00:00.507 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET8:RF:PORT:RFIO7 BOTH [0 ms]
00:00:00.508 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET8:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:00.508 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET8 ON [0 ms]
00:00:01.176 ; Settings      ; Verbose     ; Saving GuiSettings to C:\Program Files (x86)\Keysight\TAP\Settings\Default\GuiSettings.xml
00:00:01.343 ; DUT           ; Information ; DUT open in calibration mode
00:00:01.343 ; DUT           ; Information ; DUT opened [1032 ms]
00:00:01.345 ; EXT           ; Verbose     ; SCPI >> INST:CAT? [837 ms]
00:00:01.345 ; EXT           ; Verbose     ; SCPI << "WCDMA 9, CDMA2K 10, SEQAN 123, WLAN 217, CDMA1XEV 15, TDSCDMA 211, LTE 102, BT 228, ADEMOD 234, LTETDD 105, BASIC 8, WIMAXOFDMA 75, EDGEGSM 13"
00:00:01.347 ; EXT           ; Verbose     ; SCPI >> :LSEQuencer:TIMeout:TRIGger:STATe ON [0 ms]
00:00:01.348 ; EXT           ; Verbose     ; SCPI >> :LSEQuencer:TIMeout:TRIGger 5 [0 ms]
00:00:01.348 ; EXT           ; Verbose     ; SCPI >> :LSEQuencer:ASRLevels:STATe ON [0 ms]
00:00:01.349 ; EXT           ; Verbose     ; SCPI >> :LSEQuencer:ASRLevels:ARULes IMAT [0 ms]
00:00:01.365 ; EXT           ; Verbose     ; SCPI >> MMEM:CAT? "D:\" [17 ms]
00:00:01.365 ; EXT           ; Verbose     ; SCPI << 703885312,15024750592,"[$RECYCLE.BIN],,","[Agilent],,","[NVARB],,","[System Volume Information],,","[Users],,","[User_My_Documents],,"
00:00:01.366 ; EXT           ; Verbose     ; SCPI >> *CLS [1 ms]
00:00:01.375 ; EXT           ; Verbose     ; SCPI >> MMEM:CAT? "D:\User_My_Documents\Instrument\My Documents\Sequences\" [9 ms]
00:00:01.375 ; EXT           ; Verbose     ; SCPI << 703885312,15024750592,"70aba16fbca8278e988cc4221326644c48672f0a.txt,,820","e0056715d0126d3e7ef61f8f1344c60b48133135.txt,,791"
00:00:01.376 ; EXT           ; Verbose     ; SCPI >> *CLS [1 ms]
00:00:01.378 ; EXT           ; Verbose     ; SCPI >> *CLS [1 ms]
00:00:01.378 ; EXT           ; Verbose     ; SCPI >> :CAL:AUTO:ALER NONE [0 ms]
00:00:01.378 ; EXT           ; Verbose     ; SCPI >> :CAL:AUTO OFF [0 ms]
00:00:01.383 ; EXT           ; Verbose     ; SCPI >> CAL:TEMP:CURR? [4 ms]
00:00:01.383 ; EXT           ; Verbose     ; SCPI << 3.875000000E+01
00:00:01.393 ; EXT           ; Verbose     ; SCPI >> CAL:TEMP:LALL? [10 ms]
00:00:01.393 ; EXT           ; Verbose     ; SCPI << 3.875000000E+01
00:00:01.403 ; EXT           ; Verbose     ; SCPI >> CAL:TIME:LALL? [10 ms]
00:00:01.403 ; EXT           ; Verbose     ; SCPI << 4.829134211E+03
00:00:01.403 ; EXT           ; Verbose     ; AlignIfRequired completed [26 ms]
00:00:01.404 ; EXT           ; Verbose     ; SCPI >> INST:CAT? [1 ms]
00:00:01.404 ; EXT           ; Verbose     ; SCPI << "WCDMA 9, CDMA2K 10, SEQAN 123, WLAN 217, CDMA1XEV 15, TDSCDMA 211, LTE 102, BT 228, ADEMOD 234, LTETDD 105, BASIC 8, WIMAXOFDMA 75, EDGEGSM 13"
00:00:01.405 ; EXT           ; Verbose     ; SCPI >> :LSEQuencer:TIMeout:TRIGger:STATe ON [0 ms]
00:00:01.406 ; EXT           ; Verbose     ; SCPI >> :LSEQuencer:TIMeout:TRIGger 5 [0 ms]
00:00:01.406 ; EXT           ; Verbose     ; SCPI >> :LSEQuencer:ASRLevels:STATe ON [0 ms]
00:00:01.407 ; EXT           ; Verbose     ; SCPI >> :LSEQuencer:ASRLevels:ARULes IMAT [0 ms]
00:00:01.415 ; EXT           ; Verbose     ; SCPI >> MMEM:CAT? "D:\" [8 ms]
00:00:01.415 ; EXT           ; Verbose     ; SCPI << 703885312,15024750592,"[$RECYCLE.BIN],,","[Agilent],,","[NVARB],,","[System Volume Information],,","[Users],,","[User_My_Documents],,"
00:00:01.415 ; EXT           ; Verbose     ; SCPI >> *CLS [1 ms]
00:00:01.423 ; EXT           ; Verbose     ; SCPI >> MMEM:CAT? "D:\User_My_Documents\Instrument\My Documents\Sequences\" [8 ms]
00:00:01.424 ; EXT           ; Verbose     ; SCPI << 703885312,15024750592,"70aba16fbca8278e988cc4221326644c48672f0a.txt,,820","e0056715d0126d3e7ef61f8f1344c60b48133135.txt,,791"
00:00:01.424 ; EXT           ; Verbose     ; SCPI >> *CLS [1 ms]
00:00:01.425 ; EXT           ; Verbose     ; SCPI >> INST:NSEL 9 [0 ms]
00:00:01.425 ; EXT           ; Verbose     ; SCPI >> :DISPlay:ENABle ON [0 ms]
00:00:01.426 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET1 ON [0 ms]
00:00:01.426 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET1:RF:PORT RFIn [0 ms]
00:00:01.426 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET1:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.427 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET2:RF:PORT RFOut [0 ms]
00:00:01.427 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET2 ON [0 ms]
00:00:01.428 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET2:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.428 ; EXT           ; Verbose     ; Skipping setting 'RFCableLossRFIO1' (Requires option 'RFIO RF')
00:00:01.428 ; EXT           ; Verbose     ; Skipping setting 'RFCableLossRFIO2' (Requires option 'RFIO RF')
00:00:01.428 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET1:RF:PORT:RFIO0 BOTH [0 ms]
00:00:01.429 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET1 ON [0 ms]
00:00:01.429 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET1:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.430 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET1:RF:PORT RFIO0 [0 ms]
00:00:01.430 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET2 ON [0 ms]
00:00:01.431 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET2:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.431 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET2:RF:PORT RFIO1 [0 ms]
00:00:01.431 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET2:RF:PORT:RFIO1 BOTH [0 ms]
00:00:01.432 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET3:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.432 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET3:RF:PORT RFIO2 [0 ms]
00:00:01.433 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET3:RF:PORT:RFIO2 BOTH [0 ms]
00:00:01.433 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET3 ON [0 ms]
00:00:01.434 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET4 ON [0 ms]
00:00:01.434 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET4:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.447 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET4:RF:PORT RFIO3 [13 ms]
00:00:01.448 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET4:RF:PORT:RFIO3 BOTH [1 ms]
00:00:01.449 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET5:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.449 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET5:RF:PORT RFIO4 [0 ms]
00:00:01.450 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET5:RF:PORT:RFIO4 BOTH [0 ms]
00:00:01.450 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET5 ON [0 ms]
00:00:01.450 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET6 ON [0 ms]
00:00:01.451 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET6:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.451 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET6:RF:PORT RFIO5 [0 ms]
00:00:01.452 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET6:RF:PORT:RFIO5 BOTH [0 ms]
00:00:01.452 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET7:RF:PORT RFIO6 [0 ms]
00:00:01.453 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET7 ON [0 ms]
00:00:01.453 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET7:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.453 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET7:RF:PORT:RFIO6 BOTH [0 ms]
00:00:01.454 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET8:RF:PORT RFIO7 [0 ms]
00:00:01.454 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET8:RF:PORT:RFIO7 BOTH [0 ms]
00:00:01.455 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET8:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.455 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET8 ON [0 ms]
00:00:01.677 ; EXT           ; Verbose     ; SCPI >> *OPC? [221 ms]
00:00:01.677 ; EXT           ; Verbose     ; SCPI << 1
00:00:01.678 ; EXT           ; Verbose     ; SCPI >> RAD:STAN:DEV MS [0 ms]
00:00:01.678 ; EXT           ; Information ; Loaded mode 'Wcdma'. [254 ms]
00:00:01.678 ; EXT           ; Information ; WCDMA mode initialized. [254 ms]
00:00:01.678 ; EXT           ; Verbose     ; SCPI >> INST:SEL EDGEGSM [0 ms]
00:00:01.699 ; EXT           ; Verbose     ; SCPI >> *OPC? [21 ms]
00:00:01.699 ; EXT           ; Verbose     ; SCPI << 1
00:00:01.701 ; EXT           ; Verbose     ; SCPI >> RAD:DEV MS [1 ms]
00:00:01.701 ; EXT           ; Information ; GSM/EDGE mode initialized. [23 ms]
00:00:01.701 ; EXT           ; Verbose     ; SCPI >> INST:NSEL 123 [0 ms]
00:00:01.702 ; EXT           ; Verbose     ; SCPI >> :DISPlay:ENABle ON [0 ms]
00:00:01.703 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET1 ON [0 ms]
00:00:01.703 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET1:RF:PORT RFIn [0 ms]
00:00:01.703 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET1:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.704 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET2:RF:PORT RFOut [0 ms]
00:00:01.704 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET2 ON [0 ms]
00:00:01.705 ; EXT           ; Verbose     ; SCPI >> :CORR:CSET2:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.705 ; EXT           ; Verbose     ; Skipping setting 'RFCableLossRFIO1' (Requires option 'RFIO RF')
00:00:01.705 ; EXT           ; Verbose     ; Skipping setting 'RFCableLossRFIO2' (Requires option 'RFIO RF')
00:00:01.705 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET1:RF:PORT:RFIO0 BOTH [0 ms]
00:00:01.706 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET1 ON [0 ms]
00:00:01.706 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET1:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.707 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET1:RF:PORT RFIO0 [0 ms]
00:00:01.707 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET2 ON [0 ms]
00:00:01.707 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET2:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.708 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET2:RF:PORT RFIO1 [0 ms]
00:00:01.708 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET2:RF:PORT:RFIO1 BOTH [0 ms]
00:00:01.709 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET3:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.709 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET3:RF:PORT RFIO2 [0 ms]
00:00:01.710 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET3:RF:PORT:RFIO2 BOTH [0 ms]
00:00:01.710 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET3 ON [0 ms]
00:00:01.710 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET4 ON [0 ms]
00:00:01.711 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET4:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.711 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET4:RF:PORT RFIO3 [0 ms]
00:00:01.712 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET4:RF:PORT:RFIO3 BOTH [0 ms]
00:00:01.712 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET5:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.712 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET5:RF:PORT RFIO4 [0 ms]
00:00:01.713 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET5:RF:PORT:RFIO4 BOTH [0 ms]
00:00:01.713 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET5 ON [0 ms]
00:00:01.714 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET6 ON [0 ms]
00:00:01.714 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET6:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.715 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET6:RF:PORT RFIO5 [0 ms]
00:00:01.715 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET6:RF:PORT:RFIO5 BOTH [0 ms]
00:00:01.715 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET7:RF:PORT RFIO6 [0 ms]
00:00:01.716 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET7 ON [0 ms]
00:00:01.716 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET7:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.717 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET7:RF:PORT:RFIO6 BOTH [0 ms]
00:00:01.717 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET8:RF:PORT RFIO7 [0 ms]
00:00:01.717 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET8:RF:PORT:RFIO7 BOTH [0 ms]
00:00:01.718 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET8:DATA 10e6, 0, 3000e6, 0 [0 ms]
00:00:01.718 ; EXT           ; Verbose     ; SCPI >> :MPAD:CORR:CSET8 ON [0 ms]
00:00:01.846 ; EXT           ; Verbose     ; SCPI >> *OPC? [128 ms]
00:00:01.846 ; EXT           ; Verbose     ; SCPI << 1
00:00:01.847 ; EXT           ; Information ; Loaded mode 'SequenceAnalyzer'. [146 ms]
00:00:01.847 ; EXT           ; Information ; Device EXT (TCPIP0::A-E6607C-10275.aal.is.keysight.com::inst0::INSTR) opened [1536 ms]
00:00:01.934 ; TestPlan      ; Start       ; "Verify GSM Multi RX" started.
00:00:01.940 ; TestStep      ; Information ; Setting up Instrument
00:00:01.942 ; EXT           ; Verbose     ; SCPI >> OUTP OFF [1 ms]
00:00:01.951 ; EXT           ; Verbose     ; SCPI >> MMEMory:CATalog? "D:\NVARB\" [8 ms]
00:00:01.951 ; EXT           ; Verbose     ; SCPI << 703885312,15024750592,"CDMA2K_9CHAN.WFM,,1310960","CDMA2K_PILOT.WFM,,655616","CW_TOI_2TONE.WFM,,2816","EDGE_1C_BURST.WFM,,1250320","EDGE_BURST.WFM,,9750192","GSM_1C_BURST.WFM,,1250320","GSM_BURST.WFM,,9750192","GSM_SE_TSC0_TS3_PN9_Normal.WFM,,66300432","MT_31TONES_2MHZSPC.WFM,,4256","MT_7TONES_2KHZSPC.WFM,,6560","Nullwaveform.bin,,40000","null_wfm2.txt,,14","QAM16.WFM,,327904","QPSK.WFM,,327872","SINE_TEST.WFM,,4288","WCDMA_1DPCH.WFM,,1536192","WCDMA_DL_12.2KRMC_All_UP_511.WFM,,98112464","WCDMA_TM1_64DPCH_1C.WFM,,1536224","WCDMA_TM1_64DPCH_4C.WFM,,1344224","WLAN20MHZ54M64QAM.WFM,,112240"
00:00:01.953 ; EXT           ; Verbose     ; SCPI >> *OPC? [1 ms]
00:00:01.953 ; EXT           ; Verbose     ; SCPI << 1
00:00:01.955 ; EXT           ; Verbose     ; SCPI >> :MMEMory:HEADer:ID? "GSM_SE_TSC0_TS3_PN9_Normal.WFM" [1 ms]
00:00:01.955 ; EXT           ; Verbose     ; SCPI << 2445348424
00:00:01.956 ; EXT           ; Verbose     ; SCPI >> :MMEMory:HEADer:ID? "D:\NVARB\GSM_SE_TSC0_TS3_PN9_Normal.WFM" [1 ms]
00:00:01.956 ; EXT           ; Verbose     ; SCPI << 2445348424
00:00:01.956 ; EXT           ; Verbose     ; Waveform file is already loaded.
00:00:01.957 ; EXT           ; Verbose     ; SCPI >> SOUR:RAD:ARB:WAV 'GSM_SE_TSC0_TS3_PN9_Normal.WFM' [1 ms]
00:00:01.958 ; EXT           ; Verbose     ; SCPI >> SOUR:RAD:ARB:MDES:PULS {0} [0 ms]
00:00:01.958 ; EXT           ; Verbose     ; SCPI >> OUTP:MOD ON [0 ms]
00:00:01.959 ; EXT           ; Verbose     ; SCPI >> SOUR:RAD:ARB ON [0 ms]
00:00:01.959 ; EXT           ; Verbose     ; SCPI >> OUTP ON [0 ms]
00:00:01.974 ; EXT           ; Verbose     ; SCPI >> *OPC? [14 ms]
00:00:01.974 ; EXT           ; Verbose     ; SCPI << 1
00:00:01.974 ; EXT           ; Verbose     ; SCPI >> INST:NSEL 123 [1 ms]
00:00:01.977 ; EXT           ; Verbose     ; SCPI >> *OPC? [1 ms]
00:00:01.977 ; EXT           ; Verbose     ; SCPI << 1
00:00:01.977 ; EXT           ; Information ; Loaded mode 'SequenceAnalyzer'. [3 ms]
00:00:01.978 ; EXT           ; Verbose     ; SCPI >> SOUR:POW -60 [1 ms]
00:00:01.978 ; EXT           ; Verbose     ; SCPI >> SOUR:RAD:BAND:LINK DOWN [1 ms]
00:00:01.979 ; EXT           ; Verbose     ; SCPI >> SOUR:FREQ:CHAN:BAND EGSM [0 ms]
00:00:01.980 ; EXT           ; Verbose     ; SCPI >> SOUR:FREQ:CHAN:NUMB 30 [1 ms]
00:00:01.983 ; EXT           ; Verbose     ; SCPI >> SOUR:FREQ 941000000 [1 ms]
00:00:01.984 ; EXT           ; Verbose     ; SCPI >> :LSEQuencer:BTXPower:DIF:BANDwidth 1000000 [1 ms]
00:00:01.985 ; EXT           ; Verbose     ; SCPI >> :LSEQuencer:BFERor:DIF:BWIDth 500000 [0 ms]
00:00:01.985 ; EXT           ; Verbose     ; SCPI >> :LSEQuencer:BIQData:DIF:BWIDth 500000 [0 ms]
00:00:01.986 ; EXT           ; Verbose     ; SCPI >> :LSEQuencer:ASRLevels:MSNR 5 [0 ms]
00:00:01.987 ; EXT           ; Verbose     ; SCPI >> :LSEQuencer:ASRLevels:PPM 0 [0 ms]
00:00:01.987 ; EXT           ; Verbose     ; SCPI >> LSEQ:EDGE:EORF:TYPE MSW [0 ms]
00:00:01.988 ; EXT           ; Verbose     ; SCPI >> LSEQ:EDGE:EORF:LIST:SEL CUST [0 ms]
00:00:01.988 ; EXT           ; Verbose     ; SCPI >> LSEQ:EDGE:EORF:LIST:MOD:FREQ 0,100000,200000,250000,400000,600000,800000,1000000,1200000,1400000,1600000,1800000,1801000,1802000,1803000 [0 ms]
00:00:01.989 ; EXT           ; Verbose     ; SCPI >> LSEQ:EDGE:EORF:LIST:MOD:STAT ON, ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,OFF,OFF,OFF [0 ms]
00:00:01.989 ; EXT           ; Verbose     ; SCPI >> LSEQ:EDGE:EORF:LIST:SWIT:FREQ 0,400000,600000,1200000,1800000,1801000,1802000,1803000,1804000,1805000,1806000,1807000,1808000,1809000,1810000 [0 ms]
